MeSH_ClassX;precision;recall;f1-score;support
Antineoplastic Agents, Phytogenic;28.27;37.22;32.09;36.00
Anti-Inflammatory Agents;24.36;29.17;24.84;136.80
Antinematodal Agents;20.67;22.22;16.90;36.00
Insecticides;13.88;11.67;12.29;72.00
Antidepressive Agents;15.77;11.67;11.31;72.00
Antipsychotic Agents;10.01;11.20;10.20;187.20
Dopamine Agonists;12.75;11.03;9.45;136.80
Herbicides;10.69;8.96;8.95;115.20
Dopamine Antagonists;6.95;15.83;8.58;86.40
Anti-Bacterial Agents;7.37;9.98;8.14;288.00
Enzyme Inhibitors;8.39;11.60;7.89;187.20
Adrenergic beta-Antagonists;17.62;6.67;7.58;28.80
Hypoglycemic Agents;4.81;15.93;6.39;100.80
Serotonin Antagonists;6.60;6.62;6.10;86.40
Cardiotonic Agents;8.29;4.44;5.65;36.00
Antihypertensive Agents;2.93;3.32;3.07;201.60
Adrenergic alpha-Antagonists;4.58;2.22;2.97;36.00
Anti-Inflammatory Agents, Non-Steroidal;3.01;2.94;2.82;172.80
Anti-Infective Agents;2.99;2.08;2.46;115.20
Dopamine Uptake Inhibitors;5.30;1.67;2.42;28.80
Antidepressive Agents, Tricyclic;4.70;2.22;2.40;50.40
Serotonin Receptor Agonists;2.69;2.41;2.39;72.00
Vasodilator Agents;2.51;1.81;2.09;129.60
Anesthetics, Local;1.46;0.74;0.86;122.40
Histamine H1 Antagonists;1.16;0.69;0.86;108.00
Voltage-Gated Sodium Channel Blockers;1.05;0.56;0.73;43.20
Neuroprotective Agents;2.00;0.37;0.62;50.40
Antifungal Agents;0.61;0.67;0.60;86.40
Antiemetics;0.31;0.46;0.36;79.20
Anticonvulsants;0.41;0.28;0.33;72.00
Anti-Arrhythmia Agents;0.20;0.14;0.16;93.60
Anti-Allergic Agents;0.00;0.00;0.00;86.40
Diuretics;0.00;0.00;0.00;79.20
Anti-Anxiety Agents;0.00;0.00;0.00;72.00
Antineoplastic Agents;0.00;0.00;0.00;72.00
Calcium Channel Blockers;0.00;0.00;0.00;72.00
Bronchodilator Agents;0.00;0.00;0.00;64.80
Analgesics, Non-Narcotic;0.00;0.00;0.00;57.60
Antioxidants;0.00;0.00;0.00;57.60
Anthelmintics;0.00;0.00;0.00;50.40
Cholinesterase Inhibitors;0.00;0.00;0.00;50.40
Parasympatholytics;0.00;0.00;0.00;50.40
Adrenergic alpha-Agonists;0.00;0.00;0.00;43.20
Antiparkinson Agents;0.00;0.00;0.00;43.20
Oxytocics;0.00;0.00;0.00;43.20
14-alpha Demethylase Inhibitors;0.00;0.00;0.00;36.00
Anti-Ulcer Agents;0.00;0.00;0.00;36.00
Antidepressive Agents, Second-Generation;0.00;0.00;0.00;36.00
Antimalarials;0.00;0.00;0.00;36.00
Antitussive Agents;0.00;0.00;0.00;36.00
Cyclooxygenase Inhibitors;0.00;0.00;0.00;36.00
Glucocorticoids;0.00;0.00;0.00;36.00
Muscarinic Antagonists;0.00;0.00;0.00;36.00
Muscle Relaxants, Central;0.00;0.00;0.00;36.00
Adrenergic beta-1 Receptor Antagonists;0.00;0.00;0.00;28.80
Adrenergic beta-Agonists;0.00;0.00;0.00;28.80
Anti-Infective Agents, Urinary;0.00;0.00;0.00;28.80
Antiviral Agents;0.00;0.00;0.00;28.80
Central Nervous System Stimulants;0.00;0.00;0.00;28.80
Cyclooxygenase 2 Inhibitors;0.00;0.00;0.00;28.80
GABA Antagonists;0.00;0.00;0.00;28.80
Histamine Antagonists;0.00;0.00;0.00;28.80
Hypolipidemic Agents;0.00;0.00;0.00;28.80
Platelet Aggregation Inhibitors;0.00;0.00;0.00;28.80
Uricosuric Agents;0.00;0.00;0.00;28.80
Fungicides, Industrial;0.00;0.00;0.00;27.00
Adjuvants, Immunologic;0.00;0.00;0.00;21.60
Adrenergic alpha-2 Receptor Antagonists;0.00;0.00;0.00;21.60
Angiotensin II Type 1 Receptor Blockers;0.00;0.00;0.00;21.60
Antibiotics, Antineoplastic;0.00;0.00;0.00;21.60
Anticoagulants;0.00;0.00;0.00;21.60
Antidiarrheals;0.00;0.00;0.00;21.60
Antineoplastic Agents, Alkylating;0.00;0.00;0.00;21.60
Antineoplastic Agents, Hormonal;0.00;0.00;0.00;21.60
Antiprotozoal Agents;0.00;0.00;0.00;21.60
Antipruritics;0.00;0.00;0.00;21.60
Antirheumatic Agents;0.00;0.00;0.00;21.60
Calcium Channel Agonists;0.00;0.00;0.00;21.60
Convulsants;0.00;0.00;0.00;21.60
