MeSH_ClassX;precision;recall;f1-score;support
Herbicides;13.59;23.73;13.41;115.20
Cardiotonic Agents;13.52;15.83;13.22;36.00
Dopamine Uptake Inhibitors;17.23;11.94;10.87;28.80
Enzyme Inhibitors;9.00;10.44;8.94;187.20
Antipsychotic Agents;7.10;9.91;8.16;187.20
Anti-Inflammatory Agents;7.22;9.35;7.61;136.80
Anti-Bacterial Agents;4.52;9.84;6.01;288.00
Antinematodal Agents;6.32;6.11;5.63;36.00
Anti-Inflammatory Agents, Non-Steroidal;3.25;4.55;3.71;172.80
Insecticides;3.69;4.31;3.41;72.00
Dopamine Agonists;3.29;3.45;3.11;136.80
Anti-Infective Agents;2.74;3.30;2.86;115.20
Sympathomimetics;6.11;1.67;2.61;21.60
Antiparkinson Agents;3.65;2.04;2.01;43.20
Antihypertensive Agents;1.71;2.51;2.01;201.60
Vasodilator Agents;1.99;1.94;1.93;129.60
Anthelmintics;2.54;1.67;1.93;50.40
Antidepressive Agents, Tricyclic;2.74;1.39;1.84;50.40
Histamine H1 Antagonists;1.81;1.39;1.57;108.00
Bronchodilator Agents;1.66;1.57;1.51;64.80
Anesthetics, Local;1.38;1.94;1.44;122.40
Hypoglycemic Agents;1.14;2.41;1.41;100.80
Serotonin Antagonists;2.48;1.11;1.41;86.40
Antiemetics;2.22;1.16;1.40;79.20
Anti-Anxiety Agents;1.51;1.20;1.32;72.00
Antineoplastic Agents;2.63;1.44;1.25;72.00
Anti-Allergic Agents;1.91;0.89;1.19;86.40
Dopamine Antagonists;1.17;1.94;1.08;86.40
Anti-Arrhythmia Agents;1.48;0.88;1.06;93.60
Antifungal Agents;1.72;0.74;1.03;86.40
Anti-HIV Agents;2.22;0.56;0.89;14.40
Fungicides, Industrial;2.00;0.56;0.87;21.60
Antineoplastic Agents, Phytogenic;1.82;0.56;0.85;36.00
Serotonin Receptor Agonists;1.01;0.74;0.84;72.00
Adrenergic beta-Antagonists;1.67;0.56;0.83;28.80
Urological Agents;1.67;0.56;0.83;21.60
Antidepressive Agents;1.75;0.56;0.82;72.00
Neuroprotective Agents;0.96;0.74;0.79;50.40
Angiotensin II Type 1 Receptor Blockers;1.33;0.56;0.78;21.60
Histamine H1 Antagonists, Non-Sedating;1.00;0.56;0.71;21.60
Parasympatholytics;0.61;0.56;0.58;50.40
GABA Antagonists;0.56;0.56;0.56;28.80
Cyclooxygenase Inhibitors;1.05;0.28;0.44;36.00
Antitussive Agents;0.91;0.28;0.43;36.00
Anticonvulsants;0.28;0.19;0.22;72.00
Diuretics;0.56;0.11;0.19;79.20
Calcium Channel Blockers;0.00;0.00;0.00;72.00
Analgesics, Non-Narcotic;0.00;0.00;0.00;57.60
Antioxidants;0.00;0.00;0.00;57.60
Cholinesterase Inhibitors;0.00;0.00;0.00;50.40
Adrenergic alpha-Agonists;0.00;0.00;0.00;43.20
Oxytocics;0.00;0.00;0.00;43.20
Voltage-Gated Sodium Channel Blockers;0.00;0.00;0.00;43.20
14-alpha Demethylase Inhibitors;0.00;0.00;0.00;36.00
Adrenergic alpha-Antagonists;0.00;0.00;0.00;36.00
Anti-Ulcer Agents;0.00;0.00;0.00;36.00
Antidepressive Agents, Second-Generation;0.00;0.00;0.00;36.00
Antimalarials;0.00;0.00;0.00;36.00
Glucocorticoids;0.00;0.00;0.00;36.00
Muscarinic Antagonists;0.00;0.00;0.00;36.00
Muscle Relaxants, Central;0.00;0.00;0.00;36.00
Adrenergic beta-1 Receptor Antagonists;0.00;0.00;0.00;28.80
Adrenergic beta-Agonists;0.00;0.00;0.00;28.80
Anti-Infective Agents, Urinary;0.00;0.00;0.00;28.80
Antiviral Agents;0.00;0.00;0.00;28.80
Central Nervous System Stimulants;0.00;0.00;0.00;28.80
Cyclooxygenase 2 Inhibitors;0.00;0.00;0.00;28.80
Histamine Antagonists;0.00;0.00;0.00;28.80
Hypolipidemic Agents;0.00;0.00;0.00;28.80
Platelet Aggregation Inhibitors;0.00;0.00;0.00;28.80
Uricosuric Agents;0.00;0.00;0.00;28.80
Adjuvants, Immunologic;0.00;0.00;0.00;21.60
Adrenergic alpha-2 Receptor Antagonists;0.00;0.00;0.00;21.60
Antibiotics, Antineoplastic;0.00;0.00;0.00;21.60
Anticoagulants;0.00;0.00;0.00;21.60
Antidiarrheals;0.00;0.00;0.00;21.60
Antineoplastic Agents, Alkylating;0.00;0.00;0.00;21.60
Antineoplastic Agents, Hormonal;0.00;0.00;0.00;21.60
Antiprotozoal Agents;0.00;0.00;0.00;21.60
Antipruritics;0.00;0.00;0.00;21.60
Antirheumatic Agents;0.00;0.00;0.00;21.60
Calcium Channel Agonists;0.00;0.00;0.00;21.60
Convulsants;0.00;0.00;0.00;21.60
Estrogen Antagonists;0.00;0.00;0.00;21.60
Estrogens;0.00;0.00;0.00;21.60
Excitatory Amino Acid Antagonists;0.00;0.00;0.00;21.60
Expectorants;0.00;0.00;0.00;21.60
Indicators and Reagents;0.00;0.00;0.00;21.60
Miotics;0.00;0.00;0.00;21.60
Mutagens;0.00;0.00;0.00;21.60
Neurotoxins;0.00;0.00;0.00;21.60
Nootropic Agents;0.00;0.00;0.00;21.60
Phosphodiesterase Inhibitors;0.00;0.00;0.00;21.60
Phytoestrogens;0.00;0.00;0.00;21.60
Plant Growth Regulators;0.00;0.00;0.00;21.60
Protein Kinase Inhibitors;0.00;0.00;0.00;21.60
Selective Estrogen Receptor Modulators;0.00;0.00;0.00;21.60
Serine Proteinase Inhibitors;0.00;0.00;0.00;21.60
Sodium Chloride Symporter Inhibitors;0.00;0.00;0.00;21.60
Adrenergic alpha-2 Receptor Agonists;0.00;0.00;0.00;18.00
Adrenergic Uptake Inhibitors;0.00;0.00;0.00;14.40
Adrenergic alpha-1 Receptor Agonists;0.00;0.00;0.00;14.40
Analgesics;0.00;0.00;0.00;14.40
Angiotensin-Converting Enzyme Inhibitors;0.00;0.00;0.00;14.40
Anti-Dyskinesia Agents;0.00;0.00;0.00;14.40
Anticarcinogenic Agents;0.00;0.00;0.00;14.40
